,stop_id,stop_lat,stop_lon,Number of Stops,City,State
5125,14120.0,41.389447,-81.845464,5,,
3485,8290.0,41.389578,-81.72336700000001,5,,
3483,8288.0,41.394253000000006,-81.722799,5,,
3501,8307.0,41.417007,-81.722864,5,,
3479,8283.0,41.39067,-81.722948,5,,
3498,8304.0,41.413393,-81.722895,5,,
3499,8305.0,41.397727,-81.722828,5,,
3494,8300.0,41.403515999999996,-81.722821,5,,
3490,8295.0,41.396421999999994,-81.72287800000001,5,,
3477,8281.0,41.407451,-81.722825,5,,
1115,3265.0,41.380633,-81.732129,5,,
3492,8297.0,41.411425,-81.722827,5,,
3740,8904.0,41.588789,-81.512597,6,,
5552,14724.0,41.473748,-81.935612,6,,
4023,9742.0,41.227828,-81.840365,6,,
5553,14725.0,41.474185,-81.938806,6,,
5549,14721.0,41.470409000000004,-81.944113,6,,
5554,14726.0,41.475716,-81.948346,6,,
5058,14007.0,41.504494,-81.686748,6,,
1839,5030.0,41.448738,-81.638677,6,,
5550,14722.0,41.470238,-81.934883,6,,
2560,6447.0,41.574078,-81.54807,6,,
5095,14073.0,41.504886,-81.685503,6,,
5551,14723.0,41.470539,-81.932688,6,,
5548,14720.0,41.470462,-81.94897399999999,6,,
4856,11966.0,41.473757,-81.950538,6,,
1109,3241.0,41.470783000000004,-81.950744,6,,
4364,10620.0,41.486627,-81.926508,7,,
427,1638.0,41.538852,-81.43911800000001,8,,
3640,8662.0,41.539068,-81.483758,8,,
3652,8676.0,41.538937,-81.47251999999999,8,,
3641,8663.0,41.538906,-81.455603,8,,
3646,8668.0,41.538920000000005,-81.475233,8,,
3642,8664.0,41.539072,-81.456096,8,,
3643,8665.0,41.539099,-81.489139,8,,
1844,5036.0,41.448862,-81.628726,8,,
5234,14268.0,41.448855,-81.631691,8,,
3647,8669.0,41.539041999999995,-81.45874599999999,8,,
3638,8660.0,41.538923,-81.479814,8,,
3653,8677.0,41.538858000000005,-81.45326899999999,8,,
3654,8678.0,41.539063,-81.45445,8,,
3648,8670.0,41.538940999999994,-81.486807,8,,
5253,14289.0,41.538952,-81.491601,8,,
1849,5049.0,41.448851,-81.63394699999999,8,,
4374,10637.0,41.538925,-81.488764,8,,
3639,8661.0,41.539088,-81.479873,8,,
1841,5032.0,41.448772,-81.63668299999999,8,,
3633,8655.0,41.539079,-81.45201999999999,8,,
3634,8656.0,41.539015,-81.444654,8,,
3635,8657.0,41.539066999999996,-81.47803,8,,
3636,8658.0,41.538931,-81.477987,8,,
5317,14379.0,41.499862,-81.67522199999999,8,,
3637,8659.0,41.539059,-81.491382,8,,
3844,9208.0,41.309744,-81.754787,8,,
3651,8675.0,41.538916,-81.47025,8,,
3645,8667.0,41.539052000000005,-81.46288100000001,8,,
2941,7190.0,41.529925,-81.438688,8,,
2938,7187.0,41.533904,-81.438692,8,,
4204,10227.0,41.530675,-81.438903,8,,
4213,10239.0,41.539047,-81.466337,8,,
3903,9469.0,41.539089000000004,-81.49422,8,,
4214,10240.0,41.539046,-81.47012600000001,8,,
4205,10228.0,41.527496,-81.43881800000001,8,,
4206,10229.0,41.525755,-81.438863,8,,
4207,10230.0,41.521988,-81.438838,8,,
4208,10234.0,41.523547,-81.438621,8,,
4203,10226.0,41.533861,-81.43889399999999,8,,
4202,10225.0,41.53678,-81.438887,8,,
2940,7189.0,41.519034000000005,-81.438598,8,,
4200,10223.0,41.538894,-81.459315,8,,
4199,10222.0,41.538928999999996,-81.467107,8,,
4201,10224.0,41.538869,-81.445204,8,,
4209,10235.0,41.525258,-81.43865,8,,
4210,10236.0,41.526953999999996,-81.438683,8,,
2939,7188.0,41.524136999999996,-81.43885,8,,
4211,10237.0,41.536910999999996,-81.43870600000001,8,,
4212,10238.0,41.538992,-81.440085,8,,
4198,10221.0,41.538938,-81.483954,8,,
3644,8666.0,41.538902,-81.463492,8,,
1840,5031.0,41.448640000000005,-81.636963,10,,
782,2493.0,41.418507,-81.786128,11,,
4529,11052.0,41.418485,-81.778272,11,,
4422,10874.0,41.418502000000004,-81.79875,11,,
796,2513.0,41.41887,-81.71944599999999,11,,
4734,11545.0,41.476558000000004,-81.899439,11,,
1843,5034.0,41.448767,-81.63199499999999,11,,
1842,5033.0,41.448723,-81.63441999999999,11,,
794,2511.0,41.418853999999996,-81.716825,11,,
786,2500.0,41.418519,-81.80295600000001,11,,
1838,5029.0,41.448584999999994,-81.63908,11,,
475,1771.0,41.418712,-81.73864,11,,
788,2502.0,41.418673999999996,-81.81352700000001,11,,
483,1825.0,41.418645,-81.74358000000001,11,,
1845,5037.0,41.448776,-81.62807600000001,11,,
785,2497.0,41.418524,-81.79229699999999,11,,
464,1746.0,41.418721999999995,-81.73634399999999,11,,
24,109.0,41.418546,-81.77008599999999,11,,
4527,11050.0,41.418571,-81.772807,11,,
764,2461.0,41.418988,-81.711067,11,,
765,2468.0,41.418732,-81.819524,11,,
4694,11363.0,41.418549,-81.754758,11,,
768,2476.0,41.418575,-81.751826,11,,
4766,11618.0,41.476555,-81.901238,11,,
770,2478.0,41.418793,-81.727612,11,,
56,217.0,41.418514,-81.783927,11,,
772,2480.0,41.418712,-81.734099,11,,
775,2483.0,41.418943,-81.714025,11,,
4528,11051.0,41.418510999999995,-81.775061,11,,
82,323.0,41.418592,-81.805572,11,,
4700,11369.0,41.418529,-81.796369,11,,
4824,11835.0,41.418758000000004,-81.72958299999999,11,,
5118,14107.0,41.418675,-81.745599,11,,
4346,10533.0,41.476558000000004,-81.897074,11,,
5119,14108.0,41.418541999999995,-81.76596500000001,11,,
780,2491.0,41.418543,-81.781651,11,,
92,343.0,41.418636,-81.807865,11,,
4826,11837.0,41.418654,-81.74636600000001,11,,
778,2486.0,41.41854,-81.757639,11,,
4825,11836.0,41.418699,-81.740452,11,,
101,368.0,41.418665000000004,-81.811009,11,,
4695,11364.0,41.418427,-81.754661,12,,
